B1,B2,B3,B4,Label
-78.25,-93.33,-77.5,-68.25,Empty
-78.25,-93.33,-77.5,-63.25,Empty
-76.75,-91.33,-73,-63.25,Empty
-76.75,-91.33,-73,-70.25,Empty
-75.5,-89.67,-73,-70.25,Empty
-75.5,-89.67,-73,-70.75,Empty
-74.33,-89.5,-78,-70.75,Empty
-74.33,-89.5,-78,-71.25,Empty
-76.33,-89.25,-82.25,-71.25,Empty
-76.33,-89.25,-82.25,-71.75,Empty
-80,-90.5,-84.5,-71.75,Empty
-80,-90.5,-84.5,-64.5,Empty
-82.33,-90.75,-86.75,-64.5,Empty
-82.33,-90.75,-86.75,-67.5,Empty
-87.25,-91.75,-83.75,-67.5,Empty
-87.25,-91.75,-83.75,-66,Empty
-86.75,-92.5,-79.5,-66,Empty
-86.75,-92.5,-79.5,-64.75,Empty
-85.25,-93,-77.5,-64.75,Empty
-85.25,-93,-77.5,-70.75,Empty
-86.67,-91.75,-75,-70.75,Empty
-86.67,-91.75,-75,-74,Empty
-77.67,-90.75,-73,-74,Empty
-77.67,-90.75,-73,-75,Empty
-77,-89.25,-73,-75,Empty
-77,-89.25,-73,-76.25,Empty
-74.5,-88.5,-72.75,-76.25,Empty
-74.5,-88.5,-72.75,-71.5,Empty
-76.67,-89,-73.5,-71.5,Empty
-76.67,-89,-73.5,-65.5,Empty
-77.5,-89.67,-75.75,-65.5,Empty
-77.5,-89.67,-75.75,-65.75,Empty
